CustomerID,Gender,Senior Citizen,Partner,Dependents,Tenure,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Churn,Number of Dependents,Mobile App Usage,Marketing Number of Cold Call,Marketing Number of Email,Marketing Number of SMS
4190-MFLUW,0,0.0,Yes,Yes,10.0,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,,,55.2,Yes,1.0,,44.0,41.0,121.0
4183-MYFRB,0,0.0,No,No,21.0,Yes,No,Fiber optic,No,Yes,Yes,No,No,,Month-to-month,,Electronic check,90.05,No,0.0,,44.0,,198.0
8779-QRDMV,1,1.0,No,,1.0,No,No phone service,DSL,No,No,Yes,No,,Yes,Month-to-month,Yes,Electronic check,39.65,Yes,0.0,Yes,,2.0,11.0
1680-VDCWW,1,0.0,Yes,No,,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,,,19.8,No,0.0,,,,
1066-JKSGK,1,0.0,No,No,,Yes,No,No,No internet service,No internet service,No internet service,No internet service,,No internet service,Month-to-month,,Mailed check,20.15,Yes,,,5.0,,
3638-WEABW,0,,Yes,No,58.0,,Yes,DSL,No,,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,No,0.0,,167.0,123.0,472.0
6322-HRPFA,1,,Yes,Yes,49.0,Yes,No,DSL,Yes,Yes,No,,,No,Month-to-month,No,Credit card (automatic),59.6,No,2.0,,104.0,,402.0
6865-JZNKO,0,,No,No,30.0,Yes,No,DSL,Yes,Yes,No,No,No,,Month-to-month,Yes,Bank transfer (automatic),55.3,No,,,98.0,114.0,366.0
6467-CHFZW,1,,Yes,Yes,47.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,,Electronic check,99.35,Yes,1.0,Yes,245.0,153.0,638.0
8665-UTDHZ,1,0.0,Yes,Yes,1.0,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,Yes,,,,1.0,7.0
8773-HHUOZ,0,0.0,No,Yes,17.0,Yes,No,DSL,No,,No,No,Yes,Yes,Month-to-month,,Mailed check,64.7,Yes,1.0,Yes,,103.0,221.0
3841-NFECX,0,1.0,Yes,No,,,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,,96.35,No,0.0,Yes,280.0,264.0,866.0
4929-XIHVW,1,1.0,,No,2.0,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,,95.5,No,0.0,,4.0,,
6827-IEAUQ,0,0.0,Yes,,27.0,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,No,5.0,,91.0,84.0,262.0
7310-EGVHZ,1,0.0,No,No,,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,,Month-to-month,,Bank transfer (automatic),20.2,No,0.0,,4.0,,
3413-BMNZE,1,1.0,No,No,1.0,Yes,No,DSL,No,No,No,No,No,,Month-to-month,No,Bank transfer (automatic),45.25,No,0.0,No,4.0,4.0,
6234-RAAPL,0,0.0,Yes,Yes,72.0,,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,No,1.0,Yes,,267.0,872.0
6047-YHPVI,1,0.0,No,No,,Yes,No,Fiber optic,No,,No,No,No,No,Month-to-month,,Electronic check,69.7,Yes,0.0,,24.0,17.0,45.0
6572-ADKRS,0,0.0,No,,46.0,,No,Fiber optic,No,,Yes,No,No,No,Month-to-month,,Credit card (automatic),74.8,No,0.0,Yes,140.0,184.0,533.0
5380-WJKOV,1,0.0,,No,34.0,Yes,Yes,Fiber optic,No,,Yes,No,Yes,Yes,Month-to-month,,Electronic check,106.35,Yes,,,,250.0,348.0
8168-UQWWF,0,0.0,No,No,11.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,,Bank transfer (automatic),97.85,Yes,0.0,,12.0,15.0,97.0
9489-DEDVP,0,,Yes,,,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,No,4.0,No,236.0,237.0,693.0
4671-VJLCL,0,,No,No,,Yes,Yes,DSL,Yes,Yes,Yes,Yes,,No,Two year,,,79.85,No,,Yes,138.0,156.0,591.0
4080-IIARD,0,0.0,Yes,No,13.0,,Yes,DSL,Yes,Yes,No,Yes,Yes,,Month-to-month,,Electronic check,76.2,No,0.0,,29.0,36.0,109.0
3714-NTNFO,0,,No,No,,,Yes,Fiber optic,No,,No,,No,Yes,Month-to-month,,Electronic check,84.5,No,0.0,,102.0,,621.0
5948-UJZLF,1,0.0,No,No,2.0,,No,DSL,No,Yes,No,No,,No,Month-to-month,No,Mailed check,49.25,No,0.0,Yes,,5.0,20.0
7760-OYPDY,0,0.0,No,No,2.0,,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,,Electronic check,80.65,Yes,0.0,,1.0,1.0,17.0
2954-PIBKO,0,,Yes,,,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,No,5.0,,195.0,185.0,
8012-SOUDQ,0,1.0,No,,43.0,Yes,Yes,Fiber optic,No,,No,No,,No,Month-to-month,,,90.25,No,0.0,No,148.0,,593.0
9420-LOJKX,0,0.0,No,,,Yes,No,Fiber optic,Yes,,No,No,Yes,Yes,Month-to-month,,Credit card (automatic),99.1,Yes,0.0,Yes,5.0,4.0,
6575-SUVOI,0,1.0,Yes,No,,Yes,Yes,DSL,Yes,No,No,Yes,,No,Month-to-month,Yes,Credit card (automatic),69.5,No,0.0,,82.0,,329.0
7495-OOKFY,0,1.0,Yes,No,8.0,,Yes,Fiber optic,No,Yes,No,No,,,Month-to-month,,Credit card (automatic),80.65,Yes,0.0,No,61.0,42.0,86.0
4667-QONEA,0,1.0,Yes,Yes,60.0,Yes,No,DSL,Yes,,Yes,Yes,,Yes,One year,,Credit card (automatic),74.85,No,3.0,,143.0,,517.0
1658-BYGOY,1,1.0,No,No,18.0,,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,Yes,0.0,Yes,113.0,100.0,
3957-SQXML,0,0.0,Yes,,,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,No,1.0,Yes,99.0,82.0,
0434-CSFON,0,0.0,Yes,No,,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,,Month-to-month,,Electronic check,100.5,No,0.0,Yes,141.0,110.0,417.0
1215-FIGMP,1,,No,No,60.0,,Yes,Fiber optic,No,Yes,No,No,,No,Month-to-month,,Bank transfer (automatic),89.9,No,,,121.0,143.0,683.0
0526-SXDJP,1,0.0,Yes,No,,No,No phone service,DSL,Yes,,Yes,No,,No,Two year,No,Bank transfer (automatic),42.1,No,,Yes,156.0,203.0,905.0
0557-ASKVU,0,,Yes,Yes,18.0,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,,,54.4,No,1.0,,,57.0,227.0
5698-BQJOH,0,0.0,No,,9.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,,Electronic check,94.4,Yes,0.0,,21.0,,74.0
5122-CYFXA,0,,No,No,3.0,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,No,0.0,No,,,37.0
3410-YOQBQ,0,0.0,No,,31.0,Yes,No,DSL,No,,Yes,Yes,Yes,,Two year,,Mailed check,79.2,No,0.0,,,161.0,
3170-NMYVV,0,0.0,Yes,Yes,50.0,,No,No,No internet service,,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,No,,,189.0,162.0,691.0
7410-OIEDU,1,0.0,No,,10.0,,No,Fiber optic,Yes,No,Yes,,,,Month-to-month,,Mailed check,79.85,No,0.0,Yes,,,105.0
2273-QCKXA,1,0.0,No,No,1.0,,No,DSL,No,,No,Yes,No,No,Month-to-month,,Mailed check,49.05,No,0.0,,,,9.0
1891-QRQSA,1,1.0,Yes,Yes,64.0,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,No,2.0,No,132.0,169.0,772.0
8028-PNXHQ,1,0.0,Yes,Yes,62.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,,No internet service,Two year,,Bank transfer (automatic),24.25,No,2.0,,,159.0,715.0
5630-AHZIL,0,0.0,No,Yes,3.0,,No,DSL,Yes,No,No,,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,No,3.0,,6.0,6.0,32.0
2673-CXQEU,0,1.0,No,No,56.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,,One year,No,Electronic check,110.5,No,,,,,592.0
6416-JNVRK,0,0.0,No,No,46.0,Yes,No,DSL,No,No,No,No,,Yes,One year,,Credit card (automatic),55.65,No,0.0,,,100.0,423.0
5590-ZSKRV,0,0.0,Yes,,,Yes,No,DSL,Yes,Yes,No,No,,No,Month-to-month,,Mailed check,54.65,No,2.0,Yes,22.0,18.0,79.0
0191-ZHSKZ,1,1.0,No,No,,Yes,No,DSL,Yes,Yes,No,No,,Yes,Month-to-month,Yes,,74.75,No,0.0,,117.0,109.0,364.0
5919-TMRGD,0,0.0,No,Yes,1.0,Yes,No,Fiber optic,No,,No,No,Yes,No,Month-to-month,,Electronic check,79.35,Yes,2.0,Yes,5.0,6.0,11.0
8108-UXRQN,0,0.0,Yes,Yes,11.0,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,No,4.0,,,41.0,153.0
9191-MYQKX,0,0.0,Yes,No,7.0,Yes,No,Fiber optic,No,No,Yes,No,,,Month-to-month,,Bank transfer (automatic),75.15,Yes,0.0,Yes,,,
9919-YLNNG,0,,No,No,42.0,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,,Month-to-month,Yes,Bank transfer (automatic),103.8,No,0.0,No,133.0,143.0,
0318-ZOPWS,0,0.0,Yes,No,,,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,No,0.0,,123.0,118.0,561.0
4445-ZJNMU,1,0.0,No,No,9.0,,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,,Credit card (automatic),99.3,No,0.0,,26.0,25.0,89.0
4808-YNLEU,0,0.0,Yes,,35.0,,No,,Yes,No,No,No,Yes,No,One year,,Bank transfer (automatic),62.15,No,,,104.0,,366.0
1862-QRWPE,0,0.0,Yes,Yes,48.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,No,1.0,,134.0,113.0,531.0
2796-NNUFI,0,0.0,,Yes,,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,,Two year,Yes,Mailed check,19.95,No,1.0,,113.0,125.0,397.0
3016-KSVCP,1,0.0,Yes,No,29.0,No,No phone service,,No,No,No,No,,No,Month-to-month,,Mailed check,33.75,No,0.0,Yes,,,
4767-HZZHQ,1,0.0,Yes,Yes,,,No,Fiber optic,No,Yes,Yes,No,,No,Month-to-month,No,Bank transfer (automatic),82.05,No,4.0,,60.0,83.0,
2424-WVHPL,1,1.0,No,No,,Yes,No,Fiber optic,No,,No,,,No,Month-to-month,No,,74.7,No,0.0,No,3.0,4.0,10.0
7233-PAHHL,1,0.0,Yes,Yes,66.0,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,,Mailed check,84.0,No,3.0,,145.0,183.0,
6067-NGCEU,0,0.0,No,No,65.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,,Month-to-month,Yes,Credit card (automatic),111.05,No,0.0,Yes,245.0,240.0,734.0
9848-JQJTX,1,,No,No,72.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,,Bank transfer (automatic),100.9,No,0.0,,,262.0,723.0
8637-XJIVR,0,0.0,No,No,,Yes,Yes,Fiber optic,Yes,No,No,No,No,,Month-to-month,Yes,Electronic check,78.95,Yes,0.0,,13.0,13.0,
9803-FTJCG,1,,Yes,Yes,71.0,,Yes,DSL,Yes,Yes,No,Yes,,No,One year,Yes,Credit card (automatic),66.85,No,2.0,No,,261.0,959.0
0278-YXOOG,1,0.0,,No,5.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,,No internet service,Month-to-month,No,Mailed check,21.05,Yes,0.0,,,,60.0
3212-KXOCR,1,,No,,52.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,No,,,184.0,182.0,590.0
4598-XLKNJ,0,1.0,Yes,,25.0,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,,Month-to-month,,Electronic check,98.5,Yes,0.0,Yes,,,
6380-ARCEH,1,0.0,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,No,0.0,,,2.0,8.0
3679-XASPY,0,0.0,,Yes,,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,,,19.45,No,,No,,4.0,
7123-WQUHX,1,0.0,No,,,Yes,Yes,Fiber optic,No,,Yes,Yes,Yes,No,One year,,Bank transfer (automatic),95.0,No,0.0,,,,308.0
5386-THSLQ,0,1.0,,No,,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,No,0.0,,180.0,183.0,795.0
3192-NQECA,1,0.0,Yes,,,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,,Two year,Yes,Bank transfer (automatic),110.0,Yes,0.0,Yes,,,604.0
6180-YBIQI,1,0.0,No,,,No,No phone service,DSL,No,,No,No,No,No,Month-to-month,No,Mailed check,24.3,No,0.0,,16.0,16.0,
6728-DKUCO,0,0.0,Yes,,,,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,No,2.0,Yes,,238.0,899.0
8597-CWYHH,1,0.0,No,No,,,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.35,No,0.0,Yes,104.0,110.0,
2848-YXSMW,1,0.0,Yes,Yes,72.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,,No internet service,Two year,,Credit card (automatic),19.4,No,4.0,Yes,268.0,,1003.0
0486-HECZI,1,0.0,Yes,No,55.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,Yes,0.0,Yes,455.0,401.0,
4549-ZDQYY,0,0.0,,No,,Yes,No,DSL,Yes,No,Yes,Yes,No,,One year,,Credit card (automatic),57.95,No,0.0,Yes,119.0,104.0,
5712-AHQNN,0,0.0,No,,43.0,Yes,No,Fiber optic,No,,Yes,No,,No,Month-to-month,Yes,Electronic check,91.65,No,0.0,,126.0,104.0,345.0
4846-WHAFZ,0,1.0,Yes,No,37.0,,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,,76.5,Yes,0.0,,159.0,158.0,506.0
5256-SKJGO,0,,Yes,,,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,,,54.6,No,1.0,,196.0,197.0,690.0
3071-VBYPO,1,,Yes,Yes,,,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,,Electronic check,89.85,No,2.0,,9.0,,27.0
9560-BBZXK,0,0.0,No,,36.0,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),31.05,No,,Yes,104.0,100.0,366.0
5299-RULOA,0,0.0,Yes,,10.0,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,,Electronic check,100.25,Yes,1.0,,10.0,10.0,
8402-OOOHJ,0,0.0,No,No,,,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.65,No,,,141.0,,
9445-ZUEQE,1,0.0,Yes,Yes,27.0,,Yes,,No,Yes,No,Yes,,No,Month-to-month,Yes,Credit card (automatic),85.2,No,1.0,Yes,,74.0,299.0
1091-SOZGA,0,0.0,Yes,,56.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,,One year,,Credit card (automatic),99.8,No,1.0,,,144.0,507.0
2928-HLDBA,0,0.0,No,No,,Yes,No,No,No internet service,No internet service,No internet service,No internet service,,No internet service,Month-to-month,,Mailed check,20.7,No,0.0,Yes,19.0,21.0,60.0
0404-SWRVG,1,0.0,No,No,,Yes,Yes,,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,Yes,0.0,No,21.0,19.0,32.0
6497-TILVL,0,0.0,Yes,Yes,,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,50.7,No,3.0,,,,98.0
7219-TLZHO,0,,Yes,Yes,4.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.85,No,2.0,No,9.0,9.0,44.0
4412-YLTKF,0,1.0,No,,27.0,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,,Electronic check,78.05,Yes,,No,38.0,34.0,240.0
6734-PSBAW,1,0.0,Yes,No,,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,,Two year,Yes,Bank transfer (automatic),23.55,No,,Yes,150.0,189.0,703.0
3930-ZGWVE,1,0.0,No,No,,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.75,No,0.0,,4.0,4.0,13.0
2639-UGMAZ,1,1.0,No,No,,No,No phone service,DSL,Yes,Yes,No,No,Yes,,One year,Yes,Electronic check,56.45,No,,Yes,211.0,160.0,
2876-GZYZC,0,0.0,No,No,13.0,,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.95,No,,,27.0,32.0,
6207-WIOLX,0,0.0,,Yes,25.0,No,No phone service,DSL,Yes,,Yes,No,Yes,Yes,Month-to-month,,Credit card (automatic),58.6,Yes,1.0,,,,197.0
3091-FYHKI,1,0.0,No,No,,No,No phone service,DSL,No,No,No,No,,Yes,Month-to-month,,Electronic check,35.45,Yes,0.0,,3.0,,
2372-HWUHI,1,0.0,No,No,2.0,Yes,No,DSL,No,No,No,No,No,,Month-to-month,,Electronic check,44.35,Yes,0.0,,12.0,14.0,24.0
7799-LGRDP,0,0.0,,No,43.0,Yes,Yes,No,No internet service,,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.7,No,,,,89.0,
7850-VWJUU,0,0.0,No,No,23.0,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.0,No,0.0,,72.0,69.0,225.0
6217-KDYWC,1,0.0,No,Yes,,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.6,No,2.0,,130.0,,722.0
0390-DCFDQ,0,1.0,,No,1.0,Yes,No,Fiber optic,No,No,No,No,No,,Month-to-month,,Mailed check,70.45,Yes,0.0,Yes,,1.0,7.0
3146-MSEGF,0,,Yes,,72.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,,88.05,No,,,,223.0,929.0
4080-OGPJL,0,0.0,No,No,8.0,Yes,Yes,DSL,Yes,No,No,,No,Yes,Month-to-month,,Electronic check,71.15,Yes,0.0,,,,
1095-WGNGG,0,0.0,Yes,,61.0,Yes,Yes,Fiber optic,No,,No,No,,Yes,Two year,Yes,,101.05,No,0.0,Yes,,148.0,552.0
2636-SJDOU,1,0.0,No,,64.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,,Credit card (automatic),84.3,No,0.0,,246.0,,717.0
6837-BJYDQ,1,0.0,,No,3.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.6,No,0.0,,,,
2135-RXIHG,1,0.0,No,No,1.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,,Electronic check,45.65,Yes,0.0,,,,
6440-DKQGE,1,0.0,No,,30.0,,No,DSL,No,,Yes,No,Yes,No,One year,,Credit card (automatic),64.5,No,1.0,,113.0,96.0,314.0
3466-BYAVD,1,0.0,Yes,,15.0,Yes,No,DSL,No,,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,69.5,No,1.0,Yes,57.0,,
3780-YVMFA,0,0.0,Yes,Yes,8.0,,No,DSL,No,No,No,Yes,,Yes,Month-to-month,Yes,Electronic check,68.55,No,2.0,,32.0,30.0,72.0
3874-EQOEP,1,0.0,No,No,7.0,Yes,Yes,Fiber optic,No,,No,No,Yes,Yes,Month-to-month,,Mailed check,95.0,Yes,,Yes,1.0,,68.0
9073-ZZIAY,1,0.0,Yes,Yes,62.0,,No,DSL,Yes,Yes,Yes,Yes,,Yes,Two year,No,,86.1,No,1.0,,239.0,209.0,594.0
3077-RSNTJ,0,0.0,Yes,Yes,,Yes,No,No,No internet service,,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.7,No,2.0,,21.0,24.0,64.0
6551-GNYDG,0,0.0,Yes,,14.0,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.9,No,,Yes,,39.0,
9167-APMXZ,0,0.0,No,,22.0,Yes,Yes,Fiber optic,No,,No,No,Yes,,Month-to-month,Yes,Bank transfer (automatic),84.15,No,,,,48.0,280.0
6371-NZYEG,1,0.0,Yes,Yes,,,No,,Yes,,Yes,No,Yes,No,Two year,No,Mailed check,64.25,No,2.0,,,58.0,222.0
8992-VONJD,0,0.0,No,Yes,13.0,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,,Electronic check,56.0,No,,,32.0,28.0,
0867-MKZVY,0,0.0,Yes,No,20.0,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,,Electronic check,82.4,Yes,0.0,,25.0,26.0,
4482-EWFMI,0,,,,2.0,Yes,No,Fiber optic,No,,No,No,No,No,Month-to-month,,Electronic check,69.7,No,0.0,,,4.0,16.0
2907-ILJBN,0,0.0,Yes,Yes,11.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,,No internet service,One year,,Mailed check,20.6,No,1.0,No,,32.0,132.0
6345-FZOQH,1,0.0,Yes,No,69.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,,Two year,,Mailed check,19.9,No,0.0,,189.0,204.0,623.0
3376-BMGFE,0,0.0,No,,,Yes,No,Fiber optic,No,No,No,No,,No,Month-to-month,Yes,Bank transfer (automatic),70.9,Yes,0.0,Yes,,4.0,
3445-HXXGF,1,1.0,,,58.0,No,No phone service,DSL,No,Yes,Yes,No,No,,Month-to-month,,Electronic check,45.3,Yes,0.0,,0.0,2.0,315.0
1159-WFSGR,0,0.0,Yes,Yes,16.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,,Month-to-month,No,Electronic check,20.4,No,2.0,Yes,,63.0,220.0
7654-YWJUF,1,0.0,Yes,No,,Yes,No,Fiber optic,Yes,,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),84.25,No,0.0,,,,519.0
1875-QIVME,0,0.0,Yes,No,2.0,,Yes,Fiber optic,No,,Yes,Yes,,Yes,Month-to-month,Yes,Electronic check,104.4,Yes,,,14.0,10.0,
0691-JVSYA,0,,Yes,,53.0,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,,Bank transfer (automatic),94.85,Yes,,,396.0,318.0,725.0
5918-VUKWP,0,0.0,No,No,,,No,No,No internet service,No internet service,No internet service,No internet service,,No internet service,One year,,Bank transfer (automatic),20.55,No,0.0,,93.0,69.0,
1744-JHKYS,0,0.0,,No,34.0,Yes,Yes,No,No internet service,,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,,24.7,No,,No,,,471.0
2656-FMOKZ,0,1.0,No,No,15.0,,Yes,Fiber optic,No,No,No,,,No,Month-to-month,Yes,Mailed check,74.45,Yes,0.0,,83.0,62.0,155.0
2070-FNEXE,0,1.0,,,7.0,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),76.45,Yes,0.0,,22.0,22.0,
5947-SGKCL,0,0.0,Yes,Yes,15.0,Yes,Yes,Fiber optic,No,Yes,Yes,,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),105.35,No,,No,45.0,47.0,
3712-PKXZA,1,,Yes,No,,Yes,No,No,No internet service,No internet service,No internet service,,,No internet service,One year,,Credit card (automatic),20.55,No,,Yes,221.0,,778.0
6317-YPKDH,0,,No,No,,No,No phone service,DSL,No,Yes,No,,No,No,Month-to-month,,Bank transfer (automatic),29.95,Yes,,,,1.0,6.0
6582-OIVSP,0,0.0,,No,1.0,Yes,No,DSL,No,,No,No,No,No,Month-to-month,,Mailed check,45.3,No,0.0,,,4.0,12.0
