id,emirates,established_year,furnish_status,monthly_rent_aed,num_of_bathroom,num_of_parking_space,num_of_rooms,property_facilities,property_location,property_name,property_size,property_type
6362,Abu Dhabi,,Not Furnished,1092.0,2.0,,3.0,"Gymnasium, Jogging Track, Tennis Court, Security, Playground, Swimming Pool, Parking, Lift, Barbeque area, Minimart, Multipurpose hall, Squash Court, Cooking Allowed, Near MRT, Internet",Abu Dhabi - Ras Al Khor Industrial Area,1 Harmonis,1100.0,Condominium
3606,Abu Dhabi,2022.0,Fully Furnished,507.0,1.0,,1.0,"Minimart, Gymnasium, Parking, Playground, Swimming Pool, Lift, Security, Barbeque area, Jogging Track, Air-Cond, Cooking Allowed, Near MRT, Internet",Abu Dhabi - Nadd Al Shiba,Horizon Suites,478.0,Service Residence
15685,Abu Dhabi,,Partially Furnished,741.0,2.0,,1.0,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Minimart, Jogging Track, Cooking Allowed, Air-Cond, Near MRT",Abu Dhabi - Grayteesah,Suria Jaya,430.0,Apartment
2739,Dubai,,Partially Furnished,1170.0,2.0,1.0,3,"Parking, Security, Lift, Swimming Pool, Playground",Dubai - Umm Hurair,Desaku 3 Condominium,800.0,Condominium
18078,Dubai,2021.0,Fully Furnished,1403.22,1.0,1.0,1,"Minimart, Gymnasium, Jogging Track, Lift, Multipurpose hall, Playground, Swimming Pool, Barbeque area, Parking, Security, Tennis Court, Air-Cond, Cooking Allowed, Near MRT, Washing Machine",Dubai - Al Qusais,Unio Residence,250.0,Condominium
5084,Abu Dhabi,,Partially Furnished,1326.0,4.0,2.0,4.0,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Jogging Track",Abu Dhabi - Al Barsha South,Casa Green (Cheras),1873.0,Condominium
15664,Abu Dhabi,,Partially Furnished,1014.0,2.0,1.0,3.0,"Playground, Security, Parking, Swimming Pool, Air-Cond, Cooking Allowed, Internet, Near MRT",Abu Dhabi - Mereiyeel,D'Palma,850.0,Apartment
11960,Abu Dhabi,,Partially Furnished,546.0,2.0,,3.0,"Playground, Jogging Track, Barbeque area, Tennis Court, Cooking Allowed, Washing Machine",Abu Dhabi - Al Barsha South,Mahkota Cheras Flat,750.0,Others
11834,Abu Dhabi,,Partially Furnished,1950.0,3.0,1.0,3.0,"Playground, Parking, Security, Squash Court, Gymnasium, Lift, Swimming Pool, Minimart, Cooking Allowed",Abu Dhabi - Margab,University Tower,1400.0,Condominium
5135,Dubai,2013.0,Not Furnished,663.0,2.0,,3,"Playground, Minimart, Cooking Allowed",Dubai - Abu Hail,Seri Ampang Hilir,751.0,Others
8942,Abu Dhabi,,Not Furnished,1014.0,2.0,1.0,3.0,"Playground, Parking, Security, Lift, Cooking Allowed",Abu Dhabi - Dubai Investment Park,Kelompok Rajawali Apartment,900.0,Apartment
207,Dubai,2020.0,Partially Furnished,1170.0,2.0,,3,"Jogging Track, Security, Playground, Gymnasium, Parking, Swimming Pool, Sauna, Barbeque area, Multipurpose hall, Air-Cond, Cooking Allowed, Near MRT, Washing Machine, Internet",Dubai - Business Bay,One Maxim,850.0,Service Residence
5335,Dubai,2017.0,Fully Furnished,2106.0,3.0,2.0,3,,Dubai - Business Bay,THE FENNEL AT SENTUL EAST,1200.0,Condominium
12367,Dubai,2016.0,Fully Furnished,1872.0,3.0,2.0,4,"Barbeque area, Swimming Pool, Sauna, Playground, Jogging Track, Club house, Parking, Security, Minimart, Air-Cond, Cooking Allowed, Washing Machine, Near MRT",Dubai - Madinat Dubai Al Melaheyah,Damansara Foresta,1500.0,Condominium
497,Dubai,,Fully Furnished,1287.0,1.0,1.0,1,"Swimming Pool, Multipurpose hall, Gymnasium, Parking, Security, Sauna, Lift, Playground, Barbeque area, Air-Cond, Cooking Allowed, Washing Machine",Dubai - Rigga Al Buteen,Flexus Signature Suites,563.0,Condominium
7903,Dubai,2021.0,Not Furnished,1092.0,2.0,1.0,3,"Gymnasium, Parking, Security, Playground, Multipurpose hall, Lift, Jogging Track, Cooking Allowed, Near MRT",Dubai - Al Murar,Impiana Sky Residensi,850.0,Apartment
13226,Dubai,,Not Furnished,2028.0,4.0,,5,"Parking, Security, Playground, Jogging Track, Cooking Allowed",Dubai - Al Murar,Mutiara Bukit Jalil 3-Storey landed House Corner lot,2800.0,Others
4438,Dubai,2023.0,Partially Furnished,1404.0,2.0,2.0,3,"Playground, Swimming Pool, Tennis Court, Barbeque area, Lift, Jogging Track, Parking, Security, Multipurpose hall, Gymnasium, Air-Cond, Cooking Allowed, Near MRT",Dubai - Al Rigga,M Vertica,850.0,Condominium
8926,Abu Dhabi,,Fully Furnished,780.0,2.0,1.0,3.0,"Parking, Minimart, Jogging Track, Playground, Barbeque area, Lift, Cooking Allowed",Abu Dhabi - Al Barsha South,Pangsapuri Angsana,760.0,Apartment
897,Abu Dhabi,,Fully Furnished,897.0,1.0,1.0,1.0,"Parking, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Tennis Court, Squash Court, Air-Cond, Washing Machine, Cooking Allowed",Abu Dhabi - Al Mankhool,Liberty Arc @ Ampang Ukay,450.0,Condominium
11047,Dubai,,Partially Furnished,1014.0,2.0,1.0,3,"Barbeque area, Gymnasium, Swimming Pool, Security, Minimart",Dubai - Abu Hail,Desaku 3,1000.0,Condominium
9816,Abu Dhabi,2016.0,Not Furnished,1170.0,2.0,,3.0,"Parking, Minimart, Swimming Pool, Tennis Court, Jogging Track, Security, Playground, Multipurpose hall, Gymnasium, Barbeque area, Air-Cond",Abu Dhabi - Al Meryal,De Centrum Residences,1022.0,Service Residence
8156,Dubai,,Fully Furnished,2496.0,1.0,,2,"Parking, Security, Lift, Playground, Swimming Pool, Gymnasium, Air-Cond, Cooking Allowed, Washing Machine",Dubai - Mirdif,Arte Mont Kiara,886.0,Service Residence
5292,Dubai,2017.0,Fully Furnished,1403.22,2.0,1.0,3,"Parking, Security, Playground, Gymnasium, Minimart, Swimming Pool, Air-Cond, Cooking Allowed",Dubai - Zabeel,Seasons Garden Residences @ Wangsa Maju,770.0,Apartment
8363,Abu Dhabi,,Partially Furnished,780.0,2.0,,3.0,,Abu Dhabi - Al Yufrah,,1300.0,Apartment
13233,Abu Dhabi,,Partially Furnished,741.0,1.0,,1.0,"Security, Parking, Swimming Pool, Gymnasium, Lift, Minimart, Barbeque area, Multipurpose hall, Cooking Allowed, Near MRT, Washing Machine, Air-Cond",Abu Dhabi - Al Yufrah,3 Elements,530.0,Others
11640,Dubai,,Partially Furnished,702.0,1.0,1.0,3,"Parking, Playground, Security",Dubai - Jumeirah,Teratai Mewah Apartment,657.0,Apartment
18170,Abu Dhabi,,Partially Furnished,858.0,2.0,,3.0,"Parking, Security, Lift",Abu Dhabi - Al Barsha South,,1100.0,Apartment
1426,Dubai,2020.0,Partially Furnished,1092.0,2.0,1.0,3,Parking,Dubai - Al Qusais,Residensi KepongMas,800.0,Apartment
11168,Dubai,1997.0,Fully Furnished,1638.0,2.0,1.0,3,"Parking, Playground, Security, Swimming Pool, Gymnasium, Lift, Sauna, Minimart, Multipurpose hall, Air-Cond, Cooking Allowed, Washing Machine",Dubai - Umm Al Sheif,Desa Green,935.0,Service Residence
17297,Dubai,2019.0,Fully Furnished,2340.0,2.0,,3,"Swimming Pool, Gymnasium, Lift, Club house, Parking, Security, Playground, Barbeque area, Minimart, Multipurpose hall, Air-Cond, Cooking Allowed, Washing Machine",Dubai - Al Rigga,Riana South @ Bukit Manda'rina,947.0,Service Residence
1037,Abu Dhabi,2015.0,Partially Furnished,1170.0,2.0,2.0,3.0,"Security, Swimming Pool, Playground, Gymnasium, Multipurpose hall, Parking, Lift, Minimart, Air-Cond, Cooking Allowed",Abu Dhabi - Ghadeer Barashy,Seri Kasturi (Setia Alam),950.0,Apartment
10908,Dubai,,Partially Furnished,1090.44,2.0,1.0,3,"Lift, Security, Parking, Playground, Minimart, Cooking Allowed, Air-Cond, Near MRT",Dubai - Jumeirah,Berlian Residence @ Setapak,900.0,Condominium
12330,Dubai,,Partially Furnished,1170.0,2.0,1.0,3,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court, Air-Cond, Cooking Allowed, Near MRT, Washing Machine, Internet",Dubai - Jumeirah,Berlian Residence @ Setapak,900.0,Condominium
16561,Dubai,,Not Furnished,858.0,2.0,1.0,3,"Parking, Minimart, Playground, Jogging Track, Security, Swimming Pool",Dubai - Al Rigga,,865.0,Condominium
4109,Abu Dhabi,,Not Furnished,546.0,2.0,1.0,3.0,"Parking, Playground, Security, Swimming Pool, Minimart, Jogging Track, Cooking Allowed, Near MRT",Abu Dhabi - Bu Kadra,,700.0,Apartment
7639,Abu Dhabi,2010.0,Not Furnished,741.0,2.0,1.0,3.0,"Parking, Security, Playground, Multipurpose hall",Abu Dhabi - Al Barsha South,Pangsapuri Cheras Utama,850.0,Apartment
8700,Abu Dhabi,,Partially Furnished,1014.0,2.0,,3.0,"Parking, Security, Lift, Playground, Minimart, Jogging Track, Air-Cond, Cooking Allowed",Abu Dhabi - Grayteesah,Pangsapuri Damai,1076.0,Apartment
13756,Abu Dhabi,,Fully Furnished,858.0,2.0,1.0,3.0,"Parking, Security, Lift, Playground, Minimart, Air-Cond, Cooking Allowed, Washing Machine",Abu Dhabi - Al Meryal,,990.0,Apartment
6493,Abu Dhabi,,Fully Furnished,780.0,1.0,1.0,1.0,"Parking, Security, Swimming Pool, Jogging Track, Barbeque area, Gymnasium, Sauna, Club house, Air-Cond, Cooking Allowed, Near MRT, Washing Machine, Internet",Abu Dhabi - Al Yufrah,,500.0,Service Residence
10810,Abu Dhabi,2016.0,Partially Furnished,1248.0,2.0,,2.0,"Security, Lift, Parking",Abu Dhabi - Al Barsha South,YOU Vista @ YOU City Cheras,850.0,Service Residence
9785,Dubai,,Fully Furnished,1209.0,1.0,1.0,1,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Jogging Track, Air-Cond, Washing Machine, Near MRT, Cooking Allowed",Dubai - Jumeirah,The Loft @ ZetaPark,600.0,Condominium
4456,Abu Dhabi,,Fully Furnished,1092.0,2.0,1.0,3.0,"Parking, Security, Lift, Playground, Jogging Track, Minimart, Cooking Allowed, Washing Machine",Abu Dhabi - Al Barsha South,Tasik Heights Apartment,850.0,Apartment
14310,Dubai,2017.0,Fully Furnished,1716.0,1.0,1.0,1,"Barbeque area, Parking, Security, Playground, Swimming Pool, Gymnasium, Multipurpose hall",Dubai - Al Khabisi,South View,648.0,Service Residence
2454,Dubai,2017.0,Fully Furnished,1248.0,2.0,,3,"Security, Swimming Pool, Parking, Minimart, Playground, Gymnasium",Dubai - Zabeel,Seasons Garden Residences @ Wangsa Maju,850.0,Apartment
7494,Abu Dhabi,2021.0,Not Furnished,663.0,2.0,,3.0,"Swimming Pool, Jogging Track, Security, Playground, Multipurpose hall, Parking",Abu Dhabi - Al Barsha South,Surian Tropika,700.0,Apartment
1902,Abu Dhabi,,Partially Furnished,897.0,2.0,1.0,3.0,"Security, Playground, Jogging Track, Parking, Swimming Pool, Air-Cond, Cooking Allowed, Near MRT",Abu Dhabi - Mereiyeel,Seri Kasturi (Puchong),863.0,Apartment
16036,Abu Dhabi,,Not Furnished,507.0,2.0,,3.0,,Abu Dhabi - Al Yufrah,Taman Sungai Besi Indah,650.0,Others
3792,Dubai,,Fully Furnished,2730.0,2.0,,2,"Gymnasium, Barbeque area, Security, Swimming Pool, Parking, Air-Cond, Cooking Allowed, Washing Machine",Dubai - Al Baraha,Ritchie's Pavilion,880.0,Condominium
1918,Abu Dhabi,2014.0,Not Furnished,1014.0,2.0,,2.0,"Parking, Security, Playground, Barbeque area, Gymnasium, Jogging Track, Swimming Pool, Sauna, Multipurpose hall, Minimart, Cooking Allowed, Near MRT",Abu Dhabi - Al Barsha South,Parkland Residence,704.0,Service Residence
9231,Dubai,2022.0,Partially Furnished,2184.0,2.0,3.0,4,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall, Jogging Track, Air-Cond, Near MRT, Cooking Allowed",Dubai - Jumeirah,PV9 Residences @ Taman Melati,1100.0,Service Residence
3842,Abu Dhabi,,Partially Furnished,1950.0,3.0,,4.0,"Playground, Cooking Allowed",Abu Dhabi - Grayteesah,Flat PKNS Seksyen 7 Shah Alam,2156.0,Others
8750,Abu Dhabi,2008.0,Fully Furnished,1950.0,2.0,2.0,3.0,"Tennis Court, Sauna, Security, Playground, Swimming Pool, Gymnasium, Jogging Track, Barbeque area, Multipurpose hall, Lift, Parking, Air-Cond, Cooking Allowed, Washing Machine",Abu Dhabi - Margab,Casa Tropicana,1228.0,Condominium
388,Abu Dhabi,2022.0,Partially Furnished,1170.0,1.0,1.0,2.0,"Swimming Pool, Jogging Track, Playground, Security, Gymnasium, Lift, Multipurpose hall, Parking, Barbeque area, Minimart, Tennis Court, Air-Cond, Cooking Allowed, Near MRT, Washing Machine, Internet",Abu Dhabi - Al Meryal,Canopy Hills,600.0,Condominium
14714,Dubai,2016.0,Fully Furnished,1482.0,2.0,1.0,3,"Swimming Pool, Gymnasium, Jogging Track, Barbeque area, Multipurpose hall, Security, Playground, Parking, Lift, Air-Cond, Cooking Allowed, Near MRT, Washing Machine",Dubai - Al Twar,Anyaman Residence,935.0,Condominium
14548,Abu Dhabi,2021.0,Partially Furnished,1248.0,2.0,2.0,3.0,"Parking, Security, Lift, Swimming Pool, Gymnasium, Playground, Air-Cond",Abu Dhabi - Al Hebiah,Lakefront Homes @ Cyberjaya,1010.0,Condominium
17710,Dubai,,Not Furnished,1092.0,2.0,,3,"Parking, Minimart, Gymnasium, Security, Swimming Pool, Barbeque area, Lift, Near MRT",Dubai - Al Ttay,Gurney Heights,1000.0,Condominium
4666,Dubai,,Partially Furnished,1365.0,2.0,1.0,3,"Parking, Security, Lift, Swimming Pool, Playground, Minimart, Multipurpose hall, Air-Cond, Cooking Allowed, Near MRT, Washing Machine",Dubai - Jumeirah,Residensi Vista Wirajaya,850.0,Apartment
5132,Abu Dhabi,,Partially Furnished,702.0,2.0,,3.0,"Parking, Security, Playground",Abu Dhabi - Mereiyeel,Sri Cempaka (Pusat Bandar Puchong),800.0,Apartment
15441,Abu Dhabi,,Partially Furnished,936.0,2.0,,3.0,"Parking, Security, Lift, Minimart, Cooking Allowed, Air-Cond",Abu Dhabi - Al Barsha South,Perdana Court,800.0,Apartment
6555,Dubai,,Partially Furnished,702.0,2.0,,3,"Jogging Track, Lift, Minimart, Playground, Security, Parking",Dubai - Al Rigga,Mewah Court Cheras (Cheras Mewah),888.0,Apartment
16091,Dubai,,Fully Furnished,3510.0,3.0,1.0,4,"Gymnasium, Club house, Parking, Security, Sauna, Minimart, Playground, Swimming Pool, Lift, Barbeque area, Tennis Court, Jogging Track, Multipurpose hall, Air-Cond, Cooking Allowed, Near MRT, Washing Machine",Dubai - Umm Suqeim,TTDI Plaza Condominium,2174.0,Condominium
7368,Abu Dhabi,,Partially Furnished,1287.0,2.0,1.0,3.0,,Abu Dhabi - Mereiyeel,Koi Kinrara,1221.0,Condominium
1682,Dubai,,Partially Furnished,1014.0,2.0,1.0,3,"Parking, Security, Lift, Swimming Pool, Playground, Barbeque area, Near MRT",Dubai - Jumeirah,Residensi Vista Wirajaya,855.0,Apartment
10212,Dubai,,Fully Furnished,1248.0,2.0,2.0,3,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court, Cooking Allowed, Air-Cond, Washing Machine",Dubai - Jumeirah,The Nest Residence,855.0,Condominium
14380,Dubai,2017.0,Partially Furnished,1950.0,3.0,2.0,4,"Playground, Swimming Pool, Jogging Track, Multipurpose hall, Security, Gymnasium, Air-Cond, Cooking Allowed",Dubai - Jumeirah Island 2,28 Dutamas,1500.0,Condominium
14585,Dubai,,Fully Furnished,1950.0,3.0,,3,"Tennis Court, Sauna, Parking, Security, Swimming Pool, Minimart, Gymnasium",Dubai - Al Muraqqabat,Mutiara Villa,1200.0,Condominium
7015,Dubai,2021.0,Fully Furnished,1404.0,2.0,1.0,3,"Playground, Gymnasium, Multipurpose hall, Parking, Security, Lift, Swimming Pool, Minimart, Barbeque area, Cooking Allowed, Near MRT, Washing Machine",Dubai - Al Murar,Impiana Sky Residensi,900.0,Apartment
4346,Abu Dhabi,,Not Furnished,624.0,2.0,2.0,3.0,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart, Multipurpose hall, Barbeque area",Abu Dhabi - Al Marmoom,D'camellia Apartment,850.0,Apartment
11779,Abu Dhabi,2014.0,Partially Furnished,1248.0,2.0,1.0,2.0,"Swimming Pool, Jogging Track, Sauna, Parking, Security, Gymnasium, Playground, Multipurpose hall, Barbeque area, Lift",Abu Dhabi - Al Barsha South,Parkland Residence,702.0,Service Residence
6810,Dubai,1993.0,Fully Furnished,2106.0,2.0,1.0,3,"Parking, Security, Lift, Swimming Pool, Playground, Air-Cond, Cooking Allowed, Near MRT, Washing Machine, Internet",Dubai - Mirdif,Mont Kiara Pines,1300.0,Apartment
446,Abu Dhabi,2015.0,Fully Furnished,936.0,2.0,1.0,2.0,"Swimming Pool, Gymnasium, Multipurpose hall, Parking, Security, Playground, Lift, Minimart, Barbeque area, Club house, Air-Cond, Cooking Allowed, Near MRT, Washing Machine",Abu Dhabi - Al Hebiah,Garden Plaza @ Garden Residence,700.0,Service Residence
8039,Abu Dhabi,2022.0,Fully Furnished,1794.0,1.0,2.0,2.0,,Abu Dhabi - Margab,ATWATER @ Petaling Jaya,670.0,Condominium
3243,Dubai,2007.0,Fully Furnished,1170.0,1.0,,1,"Security, Gymnasium, Sauna, Swimming Pool, Barbeque area, Parking, Playground, Air-Cond, Cooking Allowed, Near MRT, Washing Machine",Dubai - Al Muraqqabat,Casa Mutiara,325.0,Service Residence
13942,Abu Dhabi,2004.0,Partially Furnished,936.0,2.0,,3.0,"Minimart, Security, Playground, Parking, Swimming Pool",Abu Dhabi - Al Yufrah,Vista Impiana,1200.0,Condominium
3137,Abu Dhabi,2020.0,Fully Furnished,1326.0,1.0,,1.0,"Minimart, Swimming Pool, Tennis Court, Lift, Barbeque area, Parking, Jogging Track, Security, Squash Court, Sauna, Playground, Gymnasium",Abu Dhabi - Ghadeer Barashy,Setia City Residences,858.0,Service Residence
13337,Abu Dhabi,,Partially Furnished,624.0,3.0,2.0,3.0,"Lift, Security, Parking, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Jogging Track, Air-Cond, Cooking Allowed, Near MRT, Washing Machine, Internet",Abu Dhabi - Al Meryal,Residensi Idaman Abadi Fasa 1&2,1022.0,Condominium
16298,Abu Dhabi,,Partially Furnished,483.6,2.0,,3.0,"Parking, Jogging Track, Playground, Cooking Allowed, Washing Machine",Abu Dhabi - Grayteesah,Pangsapuri Teratai (Shah Alam),650.0,Apartment
680,Dubai,2017.0,Partially Furnished,1404.0,2.0,,2,"Swimming Pool, Playground, Multipurpose hall, Gymnasium, Sauna, Lift, Security, Parking, Air-Cond, Cooking Allowed, Washing Machine",Dubai - Corniche Deira,Sentrio Suites,856.0,Service Residence
3666,Dubai,2017.0,Partially Furnished,1793.22,3.0,2.0,3,"Security, Gymnasium, Swimming Pool, Squash Court, Parking",Dubai - Jumeirah,The Reach @ Titiwangsa,1400.0,Condominium
17380,Abu Dhabi,1999.0,Not Furnished,936.0,2.0,1.0,3.0,"Playground, Minimart, Squash Court, Security, Parking, Lift, Swimming Pool, Cooking Allowed",Abu Dhabi - Wadi Alshabak,Ridzuan Condominium,1192.0,Condominium
13493,Abu Dhabi,2011.0,Partially Furnished,897.0,2.0,1.0,3.0,"Jogging Track, Parking, Swimming Pool, Security, Lift, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Squash Court, Tennis Court, Cooking Allowed, Near MRT",Abu Dhabi - Jabal Ali,Symphony Heights (Simfoni Heights),970.0,Condominium
2841,Dubai,,Fully Furnished,1638.0,2.0,,2,"Minimart, Swimming Pool, Sauna, Parking, Security, Gymnasium, Barbeque area, Club house, Playground",Dubai - Al Nahda,38 Bidara,706.0,Condominium
1815,Abu Dhabi,2013.0,Partially Furnished,1326.0,2.0,,3.0,"Gymnasium, Jogging Track, Lift, Multipurpose hall, Playground, Swimming Pool, Security, Cooking Allowed, Washing Machine",Abu Dhabi - Al Meryal,Pearl Avenue,1101.0,Condominium
13931,Abu Dhabi,2013.0,Fully Furnished,1014.0,2.0,,1.0,"Parking, Security, Lift, Air-Cond, Cooking Allowed",Abu Dhabi - Me'aisem,Empire Damansara,700.0,Condominium
14066,Dubai,2002.0,Not Furnished,936.0,2.0,,3,"Parking, Swimming Pool, Security, Minimart",Dubai - Al Rigga,Pangsapuri Cemara (Cheras),730.0,Apartment
13803,Abu Dhabi,2019.0,Fully Furnished,1168.44,1.0,1.0,1.0,"Swimming Pool, Multipurpose hall, Parking, Security, Gymnasium, Lift, Playground, Minimart, Cooking Allowed, Air-Cond, Near MRT, Washing Machine",Abu Dhabi - Umm Al Mo'meneen,Danau Perintis,600.0,Apartment
15884,Dubai,,Not Furnished,858.0,2.0,1.0,3,"Parking, Security, Cooking Allowed",Dubai - Al Baraha,Ascadia Lake View,950.0,Apartment
477,Dubai,,Partially Furnished,702.0,2.0,1.0,3,"Minimart, Parking, Playground",Dubai - Al Murar,Sri Rakyat Apartment,667.0,Apartment
1698,Dubai,,Fully Furnished,1170.0,2.0,1.0,3,"Security, Air-Cond, Washing Machine",Dubai - Oud Al Muteen,,900.0,Apartment
4694,Dubai,2001.0,Partially Furnished,897.0,2.0,1.0,3,"Swimming Pool, Parking, Minimart, Playground, Security, Lift, Air-Cond, Cooking Allowed",Dubai - Abu Hail,Pandan Court,828.0,Apartment
11967,Abu Dhabi,,Partially Furnished,780.0,2.0,1.0,3.0,"Parking, Security, Swimming Pool, Minimart, Air-Cond, Cooking Allowed, Internet",Abu Dhabi - Al Barsha South,Puncak Baiduri Apartment,950.0,Apartment
13467,Dubai,2016.0,Partially Furnished,1248.0,2.0,2.0,3,"Parking, Playground, Swimming Pool, Security",Dubai - Al Shindagha,Spring Avenue @ Kuchai Lama,986.0,Service Residence
13222,Dubai,2011.0,Fully Furnished,2808.0,3.0,2.0,4,"Parking, Playground, Gymnasium, Club house, Minimart, Barbeque area, Swimming Pool, Security, Cooking Allowed, Air-Cond, Near MRT, Washing Machine",Dubai - Al Nahda,Setia SKY Residences,1259.0,Condominium
4417,Dubai,2020.0,Partially Furnished,1326.0,2.0,,4,,Dubai - Al Ttay,Platinum Splendor Residensi Semarak,1184.0,Condominium
5508,Abu Dhabi,2019.0,Fully Furnished,858.0,2.0,2.0,3.0,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Tennis Court, Air-Cond, Cooking Allowed, Washing Machine",Abu Dhabi - Al Marmoom,Harmoni @ Eco Majestic,900.0,Apartment
15163,Dubai,,Partially Furnished,1169.22,2.0,1.0,3,"Air-Cond, Cooking Allowed, Near MRT, Internet",Dubai - Zabeel,Lexa Residence @ The Quartz WM,816.0,Service Residence
